Sigma,Alpha,Seed,Cost,Peak
0.0,0.05,14,17.926884487669557,11.12130187200147
0.0,0.05,13,26.081562345033845,10.0
0.0,0.05,15,20.48785881013895,10.0
0.0,0.05,16,25.49999348351745,10.0
0.0,0.05,17,25.77181364030558,11.926865405471164
0.0,0.05,18,24.873453384462863,10.885450680550761
0.0,0.05,19,22.33988940091806,10.394449118772702
0.1,0.05,2,26.53887138663574,11.161597439380941
0.1,0.05,5,23.209781709953234,9.28256257225865
0.1,0.05,3,27.220338285841226,9.309952468951206
0.1,0.05,1,31.849300055044743,11.75618044160407
0.1,0.05,6,31.492617522800174,12.472900522366631
0.1,0.05,9,24.387425571652454,9.469068913058502
0.1,0.05,4,24.47126349227093,9.528010262462148
0.1,0.05,8,22.86376455582713,10.28462445299556
0.1,0.05,11,21.50904093532145,9.441692664302597
0.1,0.05,7,31.050231600688566,12.280221577686827
0.1,0.05,10,26.805664583539254,9.285847189563484
0.1,0.05,13,26.97573387761339,9.262120359926314
0.1,0.05,12,25.42772891922812,11.712300216000575
0.1,0.05,14,17.461841621996694,10.282837547544279
0.1,0.05,15,20.399004549497064,9.354834286619118
0.1,0.05,16,25.99318197965262,9.196044720216792
0.1,0.05,17,25.541049417219625,10.610007956773911
0.1,0.05,18,25.66923263630797,9.473920898372969
0.1,0.05,19,22.781653494315115,9.271727776895263
0.25,0.05,4,24.978581020469555,8.473535236340844
0.25,0.05,3,27.48246672852722,9.779316410269752
0.25,0.05,5,22.917094687623663,8.206406866817508
0.25,0.05,9,23.972393954519408,8.672672605429364
0.25,0.05,6,33.07686251322076,11.268065654632771
0.25,0.05,11,22.29964690831774,8.199584209717576
0.25,0.05,2,28.41978207790769,8.401936332422395
0.25,0.05,1,33.92421446184136,10.160261343557423
0.25,0.05,8,23.162280512566205,8.456215380490159
0.25,0.05,14,16.646762868799115,8.62728464606456
0.25,0.05,12,26.374628460368946,10.518848024601471
0.25,0.05,15,20.220469570812572,8.531709408097607
0.25,0.05,7,32.81969178292549,10.229752690404705
0.25,0.05,13,27.360105742398158,8.15530134841465
0.25,0.05,16,27.501362347495547,8.085211106423955
0.25,0.05,10,27.60260498137132,8.21461840808269
0.25,0.05,17,25.669719830892646,9.082684985849678
0.25,0.05,19,23.709234580586944,8.179319884996131
0.25,0.05,18,26.696942892621625,8.0655432953174
0.5,0.05,14,15.708769046330515,9.68921773081299
0.5,0.05,4,21.176972700500983,6.947070472681688
0.5,0.05,5,19.5192802339972,6.488948018302585
0.5,0.05,2,24.603541249540342,6.948067227957984
0.5,0.05,3,23.355146635002217,6.7361652270190895
0.5,0.05,1,29.61912106340964,7.692982218039328
0.5,0.05,7,28.579389902242298,7.242155574692323
0.5,0.05,6,28.445069255540492,7.595073172182326
0.5,0.05,8,20.11559882041219,6.585029970305792
0.5,0.05,9,20.044372678877,7.3453452108587305
0.5,0.05,10,24.203488171392348,6.644303721338761
0.5,0.05,11,18.722492247032726,6.399168419435156
0.5,0.05,12,23.611666090376,8.504825769624993
0.5,0.05,13,23.03618020181654,6.3106026968292985
0.5,0.05,15,17.994667450845913,7.063418816195213
0.5,0.05,16,24.004512043745574,7.214627027140573
0.75,0.05,2,22.175404643412218,5.42210076771924
0.5,0.05,17,21.66723944416075,7.823244470362548
0.5,0.05,18,23.4674621676769,6.563449072493478
0.5,0.05,19,20.719328419195538,6.358639769992262
0.75,0.05,3,22.831962414497696,5.877989057428835
0.75,0.05,1,25.28541666713841,5.951819732768009
0.75,0.05,9,20.669927213159227,6.018017751731473
0.75,0.05,4,19.15187357214292,5.4206056347805545
0.75,0.05,5,18.943351683971535,5.583541291770469
0.75,0.05,6,24.127888073630377,5.444366344465149
