Sigma,Alpha,Seed,Cost_Saving,Peak_Reduction,SLA
0.25,0.5,4,88.43312525386105,91.57452607996622,100.0
0.25,0.5,12,94.49554717631806,74.04232013377732,100.0
0.25,0.5,6,87.17936892521223,88.13580099292719,100.0
0.25,0.5,9,97.36037642475362,93.82199690590261,100.0
0.25,0.5,7,88.82475906869192,95.47349924902205,100.0
0.25,0.5,10,95.15849584870627,92.70774603106538,100.0
0.25,0.5,11,95.94743366713645,92.42028662429202,100.0
0.25,0.5,8,98.95335358769859,90.87602909029778,100.0
0.25,0.5,14,98.04243685867235,91.88261441075058,100.0
0.25,0.5,15,98.15574047795555,90.28935203059932,100.0
0.25,0.5,13,88.56420773607118,93.75372560700959,100.0
0.25,0.5,17,98.18622959425912,93.14628803792527,100.0
0.25,0.5,18,87.50375358234736,85.2829762097054,100.0
0.25,0.5,16,90.24491007296251,87.89213307599053,100.0
0.25,0.5,19,88.47654072654416,91.95407862825921,100.0
