Sigma,Alpha,Seed,Cost,Peak
0.5,0.15,15,55.23909351632622,14.032903326100252
0.75,0.15,4,54.93489314299174,13.825846756328527
0.75,0.15,12,51.91581055179174,12.62456171107969
0.75,0.15,10,49.33029625083288,12.237137530607322
0.75,0.15,7,49.78304826529251,13.075037364715204
0.75,0.15,9,50.853188083037566,11.721871470981133
0.75,0.15,11,51.5962541893192,11.953138222716746
0.75,0.15,8,52.87554381452497,17.90140727346698
0.75,0.15,6,64.22669998244236,21.14170830320393
0.75,0.15,13,46.223461331921946,13.67635194342753
0.75,0.15,18,56.39794745455173,13.448646835639565
0.75,0.15,14,49.44969466796363,13.407979849490529
0.0,0.3,0,43.537412496634445,13.299715268943231
0.75,0.15,19,57.09441661991793,12.546023766362914
0.75,0.15,17,58.56098066377728,15.286059756771133
0.0,0.3,2,46.91032120267228,15.198984755793436
0.0,0.3,4,46.94640273470533,14.084363374015929
0.0,0.3,10,48.41223054988826,17.000169860287443
0.0,0.3,5,51.122459055540965,13.42759229462122
0.0,0.3,9,49.63704447241313,20.574929021700736
0.75,0.15,16,64.3101994663474,15.358655428221635
0.75,0.15,15,65.16419198331037,18.355636187594826
0.0,0.3,1,58.16832822552865,15.167664670184077
0.0,0.3,6,59.048186438313806,13.376714689021298
0.0,0.3,3,54.34674873897397,15.875559422766875
0.0,0.3,7,56.87246282741299,12.888752300753453
0.0,0.3,15,50.01148699573644,14.660171396451533
0.0,0.3,8,59.349586349664214,17.604763967055938
0.0,0.3,12,50.6638166188876,17.397445105183664
0.0,0.3,11,54.99149221251459,14.24220764242759
0.0,0.3,16,45.241248190477215,11.690995829191639
0.0,0.3,18,44.85582121794687,13.126278295961995
0.0,0.3,13,50.965319175060664,12.847767758439588
0.1,0.3,0,53.70404311379966,13.647628067996093
0.1,0.3,2,49.05787358373612,14.963473353665313
0.0,0.3,19,57.436442142516725,15.209602325911872
0.1,0.3,4,49.476126096470296,14.0572993078199
0.0,0.3,17,59.55062955454191,19.534509909368506
0.1,0.3,5,48.372974385982296,13.606279346726627
0.0,0.3,14,62.868929222243864,15.950391796282654
0.1,0.3,12,44.15492946062918,12.58432937433563
0.1,0.3,1,56.56387550556612,16.203571184989674
0.1,0.3,7,52.879930899136326,14.212409837850034
0.1,0.3,10,44.435841306222976,16.930626661109375
0.1,0.3,8,50.38598136149876,17.806603886998886
0.1,0.3,6,53.24246565007634,15.913836896357045
0.1,0.3,9,42.80373826667986,14.710563178514835
0.1,0.3,3,59.26111924454971,20.309805925321935
0.1,0.3,11,50.71615374423852,13.093157110218563
0.1,0.3,17,46.683323842244924,13.788592931472937
0.25,0.3,1,47.62722833114088,17.561181082391496
0.1,0.3,14,52.42141218044569,13.610031206381159
0.1,0.3,13,53.074146960526114,14.121334146591353
0.1,0.3,16,58.07369142321032,12.625572397717733
0.1,0.3,19,52.219345299033264,16.974876339665357
0.25,0.3,0,51.43078769844686,22.1532766787626
0.1,0.3,15,55.28020338351801,18.168792751887974
0.25,0.3,3,48.67269776775943,15.121240585675679
0.25,0.3,2,48.70855722264647,14.681838382906614
0.1,0.3,18,60.752398789125586,22.729831058446695
0.25,0.3,6,45.35824466878929,14.407054009237587
0.25,0.3,4,50.85945823107006,13.761659719470822
0.25,0.3,5,58.245241400921344,15.271002046039243
0.25,0.3,9,54.81724793754993,13.74373241253261
0.25,0.3,8,60.50156586592844,13.867767356295648
0.25,0.3,12,49.84576146462515,13.618049681310726
0.25,0.3,7,58.60021687823215,15.121049814195072
0.25,0.3,13,58.55997018742244,15.408544701903601
0.5,0.3,1,50.00016412068126,11.122721714585415
0.25,0.3,18,50.804445587405425,12.785203474156253
0.25,0.3,11,52.27119264370787,16.521748643621187
0.25,0.3,15,56.707603456033326,20.04745764467563
0.25,0.3,19,49.97832482494237,14.741887303584745
0.25,0.3,10,60.167227916274555,15.951796998035709
