Sigma,Alpha,Seed,Cost_Saving,Peak_Reduction,SLA,Smart_Breach_Count,Smart_Breach_Energy,Open_Breach_Count,Open_Breach_Energy,Smart_Peak,Open_Peak,Smart_Cost,Open_Cost,Smart_Energy,Open_Energy
0.25,0.01,13,27.74551454828151,53.81436129005609,95.58345671436014,2,1.514168235,9,26.591024525083018,7.07873216,15.32669539216728,8.063906521443407,11.16042342704361,67.00580768514388,44.495005760276115
0.25,0.01,10,30.53158153577303,65.87064647929702,96.23451027483866,6,1.7914055939798632,10,29.854110048841942,6.38032673,18.694543177120757,7.662177620752165,11.029728026265392,74.21542559822231,43.64029142238135
0.25,0.01,18,51.5568601240783,49.66622298031365,97.84193921752276,4,3.732974783576007,8,24.88610095775853,9.103789874531172,18.086840315938407,5.425392215332108,11.199505707574414,74.77123372037217,31.595712669898873
0.5,0.01,9,33.01588247682346,66.68080331651878,94.9927923933972,3,0.5665982348933687,6,20.277453636593368,5.554450801743634,16.670422322928886,4.215008560416185,6.292549213562139,46.406133164267,27.85621088793636
0.0,0.01,7,16.35167934668546,80.0103125512294,95.30361793332231,10,2.9778581743626664,5,47.24735001769402,6.3810038,31.921478594166047,10.110650202412375,12.087092871017182,87.24900516596831,57.20570658101543
0.5,0.01,11,50.63404444625231,70.53924002769632,96.57152674734839,1,0.11873790330222889,6,21.218829558107984,5.237475806604458,17.77780278420603,3.343120928779775,6.772118337990881,39.476244918473334,24.35119029125366
0.25,0.01,17,19.943155529584814,47.5593138475473,95.08729421175636,3,1.9461404999999998,9,25.87487752158855,6.76994326,12.909715254904924,7.353675443867099,9.185567445872328,63.763471807133584,43.57338377332803
0.25,0.01,16,37.449876929311095,50.01474055314555,95.51896735008351,1,0.23706977559624365,10,18.92450017883948,5.474139551192487,10.95150772801875,6.535376000993745,10.448222449711267,58.4429273364794,37.42272405229936
0.5,0.01,12,50.86680005090732,46.72259059184969,97.14243367688641,2,0.6944418563732397,8,11.699407851356531,5.77012799300773,10.830346402175145,4.6520987412774595,9.468340645627679,49.67476050664109,28.672479462019957
0.5,0.01,14,67.47186015624435,3.674923243911829,100.0,0,0.0,1,0.012253790199479475,4.839860783434766,5.024507580398959,1.019026822045665,3.132754676229311,21.104688495061872,7.429660091921379
0.5,0.01,15,55.63439614357863,59.33581575046482,98.36703919934124,0,0.0,5,11.468696502879357,4.557207926846749,11.206933105755935,1.8510883121876245,4.172350089448185,31.871535145498246,12.109678016523349
